time	V(vid)	V(vodn)	V(vodp)
1.490775000074781e-003	8.689490e-003	4.176805e+000	5.498664e+000
1.505423437574781e-003	-5.110480e-003	5.226727e+000	4.449017e+000
1.515189062574780e-003	-1.429363e-002	5.907128e+000	3.767963e+000
1.520071875074780e-003	-1.886719e-002	6.227604e+000	3.446915e+000
1.524954687574780e-003	-2.342299e-002	6.530098e+000	3.143693e+000
1.529837500074780e-003	-2.795674e-002	6.812016e+000	2.860899e+000
1.534720312574780e-003	-3.246418e-002	7.071645e+000	2.600256e+000
1.539603125074780e-003	-3.694107e-002	7.308126e+000	2.362633e+000
1.544485937574780e-003	-4.138319e-002	7.521367e+000	2.148137e+000
1.549368750074780e-003	-4.578637e-002	7.711917e+000	1.956230e+000
1.554251562574780e-003	-5.014645e-002	7.880828e+000	1.785875e+000
1.559134375074779e-003	-5.445933e-002	8.029509e+000	1.635676e+000
1.564017187574779e-003	-5.872096e-002	8.159593e+000	1.504013e+000
1.568900000074779e-003	-6.292732e-002	8.272825e+000	1.389153e+000
1.573782812574779e-003	-6.707446e-002	8.370972e+000	1.289342e+000
1.578665625074779e-003	-7.115846e-002	8.455750e+000	1.202874e+000
1.583548437574779e-003	-7.517550e-002	8.528783e+000	1.128135e+000
1.588431250074779e-003	-7.912178e-002	8.591570e+000	1.063635e+000
1.593314062574779e-003	-8.299360e-002	8.645468e+000	1.008025e+000
1.598196875074779e-003	-8.678731e-002	8.691693e+000	9.600958e-001
1.603079687574779e-003	-9.049933e-002	8.731318e+000	9.187810e-001
1.607962500074778e-003	-9.412619e-002	8.765284e+000	8.831468e-001
1.612845312574778e-003	-9.766445e-002	8.794403e+000	8.523824e-001
1.617728125074778e-003	-1.011108e-001	8.819384e+000	8.257876e-001
1.622610937574778e-003	-1.044620e-001	8.840829e+000	8.027611e-001
1.627493750074778e-003	-1.077148e-001	8.859259e+000	7.827882e-001
1.632376562574778e-003	-1.108663e-001	8.875113e+000	7.654298e-001
1.637259375074778e-003	-1.139135e-001	8.888771e+000	7.503122e-001
1.642142187574778e-003	-1.168534e-001	8.900553e+000	7.371179e-001
1.647025000074778e-003	-1.196834e-001	8.910728e+000	7.255771e-001
1.651907812574777e-003	-1.224007e-001	8.919530e+000	7.154616e-001
1.656790625074777e-003	-1.250028e-001	8.927153e+000	7.065774e-001
1.661673437574777e-003	-1.274873e-001	8.933763e+000	6.987604e-001
1.666556250074777e-003	-1.298517e-001	8.939501e+000	6.918718e-001
1.671439062574777e-003	-1.320940e-001	8.944486e+000	6.857935e-001
1.676321875074777e-003	-1.342120e-001	8.948820e+000	6.804258e-001
1.681204687574777e-003	-1.362036e-001	8.952589e+000	6.756840e-001
1.686087500074777e-003	-1.380670e-001	8.955866e+000	6.714966e-001
1.690970312574777e-003	-1.398005e-001	8.958711e+000	6.678028e-001
1.695853125074777e-003	-1.414025e-001	8.961178e+000	6.645511e-001
1.700735937574776e-003	-1.428713e-001	8.963311e+000	6.616982e-001
1.705618750074776e-003	-1.442057e-001	8.965148e+000	6.592073e-001
1.710501562574776e-003	-1.454043e-001	8.966721e+000	6.570477e-001
1.715384375074776e-003	-1.464661e-001	8.968054e+000	6.551936e-001
1.720267187574776e-003	-1.473901e-001	8.969171e+000	6.536234e-001
1.725150000074776e-003	-1.481753e-001	8.970089e+000	6.523196e-001
1.730032812574776e-003	-1.488211e-001	8.970824e+000	6.512678e-001
1.734915625074776e-003	-1.493268e-001	8.971388e+000	6.504567e-001
1.739798437574776e-003	-1.496920e-001	8.971788e+000	6.498780e-001
1.744681250074775e-003	-1.499162e-001	8.972032e+000	6.495255e-001
1.749564062574775e-003	-1.499994e-001	8.972121e+000	6.493957e-001
1.754446875074775e-003	-1.499415e-001	8.972059e+000	6.494871e-001
1.759329687574775e-003	-1.497423e-001	8.971845e+000	6.498008e-001
