time	V(vid)	V(vod1)	V(vod2)
2.169485937574767e-003	1.312119e-001	1.180371e+000	8.509402e+000
2.174368750074767e-003	1.333798e-001	1.150403e+000	8.538644e+000
2.179251562574766e-003	1.354222e-001	1.123352e+000	8.564997e+000
2.184134375074766e-003	1.373371e-001	1.099018e+000	8.588664e+000
2.189017187574766e-003	1.391228e-001	1.077209e+000	8.609839e+000
2.193900000074766e-003	1.407776e-001	1.057749e+000	8.628704e+000
2.198782812574766e-003	1.422998e-001	1.040474e+000	8.645424e+000
2.203665625074766e-003	1.436881e-001	1.025235e+000	8.660151e+000
2.208548437574766e-003	1.449412e-001	1.011895e+000	8.673023e+000
2.213431250074766e-003	1.460579e-001	1.000335e+000	8.684162e+000
2.223196875074766e-003	1.478779e-001	9.821421e-001	8.701662e+000
2.232962500074765e-003	1.491413e-001	9.699757e-001	8.713341e+000
2.242728125074765e-003	1.498435e-001	9.633735e-001	8.719670e+000
2.252493750074765e-003	1.499816e-001	9.620823e-001	8.720906e+000
2.262259375074765e-003	1.495552e-001	9.660524e-001	8.717100e+000
2.272025000074764e-003	1.485660e-001	9.754361e-001	8.708097e+000
2.281790625074764e-003	1.470175e-001	9.905918e-001	8.693531e+000
2.286673437574764e-003	1.460354e-001	1.000504e+000	8.683989e+000
2.291556250074764e-003	1.449158e-001	1.012091e+000	8.672821e+000
2.296439062574764e-003	1.436598e-001	1.025459e+000	8.659919e+000
2.301321875074764e-003	1.422686e-001	1.040728e+000	8.645160e+000
2.306204687574764e-003	1.407435e-001	1.058035e+000	8.628405e+000
2.311087500074764e-003	1.390859e-001	1.077529e+000	8.609503e+000
2.315970312574764e-003	1.372975e-001	1.099374e+000	8.588287e+000
2.320853125074763e-003	1.353798e-001	1.123748e+000	8.564577e+000
2.325735937574763e-003	1.333347e-001	1.150841e+000	8.538178e+000
2.330618750074763e-003	1.311641e-001	1.180854e+000	8.508887e+000
2.335501562574763e-003	1.288700e-001	1.213998e+000	8.476488e+000
2.340384375074763e-003	1.264547e-001	1.250492e+000	8.440760e+000
2.345267187574763e-003	1.239204e-001	1.290558e+000	8.401475e+000
2.350150000074763e-003	1.212694e-001	1.334419e+000	8.358407e+000
2.355032812574763e-003	1.185043e-001	1.382298e+000	8.311330e+000
2.359915625074763e-003	1.156277e-001	1.434409e+000	8.260024e+000
2.364798437574762e-003	1.126422e-001	1.490957e+000	8.204283e+000
2.369681250074762e-003	1.095507e-001	1.552130e+000	8.143911e+000
2.374564062574762e-003	1.063561e-001	1.618102e+000	8.078735e+000
2.379446875074762e-003	1.030615e-001	1.689018e+000	8.008602e+000
2.389212500074762e-003	9.618430e-002	1.846149e+000	7.852993e+000
2.398978125074762e-003	8.894513e-002	2.024140e+000	7.676443e+000
2.408743750074762e-003	8.137118e-002	2.223089e+000	7.478832e+000
2.418509375074761e-003	7.349097e-002	2.442561e+000	7.260585e+000
2.428275000074761e-003	6.533416e-002	2.681603e+000	7.022640e+000
2.442923437574761e-003	5.264772e-002	3.073660e+000	6.631977e+000
2.449898884003332e-003	4.641245e-002	3.275252e+000	6.430939e+000
2.456874330431903e-003	4.011859e-002	3.481535e+000	6.225139e+000
2.463849776860475e-003	3.376614e-002	3.692511e+000	6.014575e+000
2.470825223289046e-003	2.735511e-002	3.908178e+000	5.799248e+000
2.477800669717617e-003	2.088549e-002	4.128538e+000	5.579158e+000
2.484776116146188e-003	1.435728e-002	4.353589e+000	5.354305e+000
2.491751562574760e-003	7.770489e-003	4.583333e+000	5.124689e+000
2.496634375074760e-003	3.160979e-003	4.744112e+000	4.963956e+000
2.501517187574760e-003	-1.440700e-003	4.904231e+000	4.803849e+000
